group,DeltaE1,DeltaE2
1,6.5789141958133825,23.231354923260987
2,15.91098121537533,18.136588639692114
3,22.422383219470227,9.689384872006457
4,28.477338343300936,23.39654753469768
5,16.902722703810305,22.49454870815117
6,21.246418933739655,17.47177290740874
7,11.485492560576361,19.03606535012721
8,12.263983968657776,15.680893405249584
9,26.456756047556297,13.926363277285716
10,14.322064649305098,16.41682433111987
11,10.951802621164973,26.191427325770235
12,12.282954724643425,19.45591884237045
13,21.421964934358186,22.340032222146718
14,23.19508638614075,7.135718957725739
15,17.170101353098538,16.8729461633203
16,18.723474606538595,21.801537797745695
17,21.32078381025685,5.640152755795626
18,12.212508302376087,22.78311223470854
19,27.412294108487316,10.816460239422192
20,7.821322323758881,26.58359975444619
21,20.72531859586789,11.171435929109009
22,9.233804967927895,11.07424106724173
23,15.980934017490299,8.094553219564794
24,23.39018537316838,26.27342368782955
25,17.69100918093953,21.72758831613509
26,26.7489041142139,19.831525153546856
27,9.403373991321729,15.549950508790126
28,25.83499062845322,10.455294492598732
29,13.344597682800583,24.121819258946786
30,11.839382073702637,5.6010480655431465
31,12.424160687072572,21.51759253388454
32,21.836223251997048,10.512840302049916
33,10.670723212253158,13.339242597117575
34,14.517331513101581,14.42240476025733
35,16.032058638444575,26.08483947733844
36,24.50438458366542,19.766341917304928
37,25.13140517563953,22.363252782009752
38,5.160164966913456,25.343217532763937
39,28.278034816122442,21.168751631776836
40,28.49617597404999,12.893689406971575
41,23.133001062991006,13.573376088205855
42,10.962764779450296,15.338906033140745
43,20.76251398431524,7.539552533297446
44,26.127825383909666,6.306441792476651
45,21.742757096929473,21.209168386066196
46,17.53506718532293,8.416152475870184
47,13.790342327471329,17.474618391607805
48,28.017476266056583,21.583560316228905
49,23.950989199430595,18.125424470423667
50,6.251994421053553,22.5643512560355
51,27.222192822398405,18.124246365779108
52,17.82137217696676,6.588051965171967
53,14.773388927215365,15.15150982684326
54,24.726758676953402,21.590038791621815
55,24.759679890982547,10.4981149144826
56,6.566583798440639,24.223959034729155
57,8.31669904808301,23.608026519275327
58,9.473133239397455,19.780583023798734
59,16.322084412503635,8.486048976255034
60,18.565635128247692,11.241880956713914
61,11.291716226095197,12.444278853989964
62,20.015950076821554,15.190364336933762
63,16.202155072776712,27.782747013926482
64,9.667818645318405,11.892890513922609
65,12.984698508286144,10.901938351929424
66,16.194546665643372,15.83663372349234
67,13.00315553176226,13.338397803619067
68,5.060840555966074,23.710820979949176
69,5.380990255471602,25.738034085390296
70,24.797178256128284,28.975629949861926
71,12.92102158312899,27.14683711342611
72,13.646513259401011,12.145370659645678
73,18.508536890579357,20.42124716773899
74,21.402278836355727,9.36974366675016
75,25.974752755231208,12.321301552531338
76,28.978995511485564,23.634096078612494
77,16.518617157795262,19.628989727007692
78,18.209710212437123,8.979259247304192
79,15.752129017137747,11.302215173294854
80,19.14924767785834,16.926953856205003
81,25.104944712172134,27.68057178093303
82,11.62684438708878,14.761298312200609
83,10.065882185447641,20.230159082955446
84,20.939444532369286,11.847844698566682
85,28.222656800371162,8.814204443166755
86,28.843258782329087,18.443738744556008
87,16.219374437990965,25.19792545662009
88,25.784005611049565,13.596281887333156
89,8.10902632118249,8.480928048054835
90,17.955342700730036,10.8690148049932
91,8.358686442280305,8.864446041116203
92,28.441406331759076,28.799643981008288
93,12.454646235178778,22.086319690176282
94,21.300925735211777,23.734590908218564
95,12.439821889385463,8.907906414920465
96,25.32071893062691,23.472255883773883
97,9.500617011563534,11.256088149526938
98,19.1952427762051,15.078130133684034
99,19.779514942144992,18.75386928308251
100,9.039763925956755,17.218404370423222
